Class      | Recall  | Precision | F1 Score | Accuracy
-------------------------------------------------------
Epoch 1
ABE        | 0.8045 | 0.8115 | 0.7894 | 0.8045
ART        | 0.8045 | 0.8115 | 0.7894 | 0.8045
BAS        | 0.8045 | 0.8115 | 0.7894 | 0.8045
BLA        | 0.8045 | 0.8115 | 0.7894 | 0.8045
EBO        | 0.8045 | 0.8115 | 0.7894 | 0.8045
EOS        | 0.8045 | 0.8115 | 0.7894 | 0.8045
FGC        | 0.8045 | 0.8115 | 0.7894 | 0.8045
HAC        | 0.8045 | 0.8115 | 0.7894 | 0.8045
KSC        | 0.8045 | 0.8115 | 0.7894 | 0.8045
LYI        | 0.8045 | 0.8115 | 0.7894 | 0.8045
LYT        | 0.8045 | 0.8115 | 0.7894 | 0.8045
MMZ        | 0.8045 | 0.8115 | 0.7894 | 0.8045
MON        | 0.8045 | 0.8115 | 0.7894 | 0.8045
MYB        | 0.8045 | 0.8115 | 0.7894 | 0.8045
NGB        | 0.8045 | 0.8115 | 0.7894 | 0.8045
NGS        | 0.8045 | 0.8115 | 0.7894 | 0.8045
NIF        | 0.8045 | 0.8115 | 0.7894 | 0.8045
OTH        | 0.8045 | 0.8115 | 0.7894 | 0.8045
PEB        | 0.8045 | 0.8115 | 0.7894 | 0.8045
PLM        | 0.8045 | 0.8115 | 0.7894 | 0.8045
PMO        | 0.8045 | 0.8115 | 0.7894 | 0.8045

Epoch 2
ABE        | 0.8406 | 0.8435 | 0.8389 | 0.8406
ART        | 0.8406 | 0.8435 | 0.8389 | 0.8406
BAS        | 0.8406 | 0.8435 | 0.8389 | 0.8406
BLA        | 0.8406 | 0.8435 | 0.8389 | 0.8406
EBO        | 0.8406 | 0.8435 | 0.8389 | 0.8406
EOS        | 0.8406 | 0.8435 | 0.8389 | 0.8406
FGC        | 0.8406 | 0.8435 | 0.8389 | 0.8406
HAC        | 0.8406 | 0.8435 | 0.8389 | 0.8406
KSC        | 0.8406 | 0.8435 | 0.8389 | 0.8406
LYI        | 0.8406 | 0.8435 | 0.8389 | 0.8406
LYT        | 0.8406 | 0.8435 | 0.8389 | 0.8406
MMZ        | 0.8406 | 0.8435 | 0.8389 | 0.8406
MON        | 0.8406 | 0.8435 | 0.8389 | 0.8406
MYB        | 0.8406 | 0.8435 | 0.8389 | 0.8406
NGB        | 0.8406 | 0.8435 | 0.8389 | 0.8406
NGS        | 0.8406 | 0.8435 | 0.8389 | 0.8406
NIF        | 0.8406 | 0.8435 | 0.8389 | 0.8406
OTH        | 0.8406 | 0.8435 | 0.8389 | 0.8406
PEB        | 0.8406 | 0.8435 | 0.8389 | 0.8406
PLM        | 0.8406 | 0.8435 | 0.8389 | 0.8406
PMO        | 0.8406 | 0.8435 | 0.8389 | 0.8406

Epoch 3
ABE        | 0.8477 | 0.8507 | 0.8455 | 0.8477
ART        | 0.8477 | 0.8507 | 0.8455 | 0.8477
BAS        | 0.8477 | 0.8507 | 0.8455 | 0.8477
BLA        | 0.8477 | 0.8507 | 0.8455 | 0.8477
EBO        | 0.8477 | 0.8507 | 0.8455 | 0.8477
EOS        | 0.8477 | 0.8507 | 0.8455 | 0.8477
FGC        | 0.8477 | 0.8507 | 0.8455 | 0.8477
HAC        | 0.8477 | 0.8507 | 0.8455 | 0.8477
KSC        | 0.8477 | 0.8507 | 0.8455 | 0.8477
LYI        | 0.8477 | 0.8507 | 0.8455 | 0.8477
LYT        | 0.8477 | 0.8507 | 0.8455 | 0.8477
MMZ        | 0.8477 | 0.8507 | 0.8455 | 0.8477
MON        | 0.8477 | 0.8507 | 0.8455 | 0.8477
MYB        | 0.8477 | 0.8507 | 0.8455 | 0.8477
NGB        | 0.8477 | 0.8507 | 0.8455 | 0.8477
NGS        | 0.8477 | 0.8507 | 0.8455 | 0.8477
NIF        | 0.8477 | 0.8507 | 0.8455 | 0.8477
OTH        | 0.8477 | 0.8507 | 0.8455 | 0.8477
PEB        | 0.8477 | 0.8507 | 0.8455 | 0.8477
PLM        | 0.8477 | 0.8507 | 0.8455 | 0.8477
PMO        | 0.8477 | 0.8507 | 0.8455 | 0.8477

Epoch 4
ABE        | 0.8530 | 0.8491 | 0.8483 | 0.8530
ART        | 0.8530 | 0.8491 | 0.8483 | 0.8530
BAS        | 0.8530 | 0.8491 | 0.8483 | 0.8530
BLA        | 0.8530 | 0.8491 | 0.8483 | 0.8530
EBO        | 0.8530 | 0.8491 | 0.8483 | 0.8530
EOS        | 0.8530 | 0.8491 | 0.8483 | 0.8530
FGC        | 0.8530 | 0.8491 | 0.8483 | 0.8530
HAC        | 0.8530 | 0.8491 | 0.8483 | 0.8530
